cell_id,scale_km2,grid_family,area_effective_km2,n_wells,question_code,question_name,direct_evidence_n,direct_evidence_pct_of_wells,minimum_documentary_n,minimum_documentary_pct_of_wells,partial_evidence_n,review_evidence_n,unknown_evidence_n,cell_documentary_state,cell_representativeness_state,top_blocking_requirements,universal_well_count_threshold_used,weight_used,score_used,cutoff_date,method_version
SCALE-100-O00-00027,100,SCALE_PRIMARY_O00_V1,99.672437056859,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00028,100,SCALE_PRIMARY_O00_V1,72.89428511138613,1,Q01,Nível e profundidade da água,1,100.0,0,0.0,0,1,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=1|Q01_R05=1|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00029,100,SCALE_PRIMARY_O00_V1,31.2776933844145,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00030,100,SCALE_PRIMARY_O00_V1,63.293579959369616,2,Q01,Nível e profundidade da água,2,100.0,0,0.0,2,0,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=2|Q01_R05=2,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00031,100,SCALE_PRIMARY_O00_V1,98.94423022642724,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00032,100,SCALE_PRIMARY_O00_V1,100.00000000000786,6,Q01,Nível e profundidade da água,6,100.0,0,0.0,0,6,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=6|Q01_R05=6|Q01_R06=6,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00033,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00034,100,SCALE_PRIMARY_O00_V1,99.36691504099048,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00035,100,SCALE_PRIMARY_O00_V1,0.714720072073973,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00036,100,SCALE_PRIMARY_O00_V1,34.007776826833194,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00037,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00038,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00039,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00040,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00041,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00042,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00043,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00044,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00045,100,SCALE_PRIMARY_O00_V1,100.00000000000786,2,Q01,Nível e profundidade da água,2,100.0,0,0.0,1,1,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=2|Q01_R05=2|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00046,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00047,100,SCALE_PRIMARY_O00_V1,100.00000000000786,18,Q01,Nível e profundidade da água,18,100.0,0,0.0,12,6,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=18|Q01_R05=18|Q01_R06=6,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00048,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00049,100,SCALE_PRIMARY_O00_V1,62.64984473830249,4,Q01,Nível e profundidade da água,4,100.0,0,0.0,3,1,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=4|Q01_R05=4|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00050,100,SCALE_PRIMARY_O00_V1,16.105302451324942,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00051,100,SCALE_PRIMARY_O00_V1,99.96658598268644,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00052,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00053,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00054,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00055,100,SCALE_PRIMARY_O00_V1,100.00000000000786,1,Q01,Nível e profundidade da água,1,100.0,0,0.0,1,0,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=1|Q01_R05=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00056,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00057,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00058,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00059,100,SCALE_PRIMARY_O00_V1,100.00000000000786,14,Q01,Nível e profundidade da água,13,92.857143,0,0.0,13,0,1,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R05=14|Q01_R03=13|Q01_R02=1|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
