scale_km2,origin,question_code,support_points_n,state_no_wells_n,state_wells_without_direct_n,state_direct_present_n,state_no_wells_pct,state_wells_without_direct_pct,state_direct_present_pct,control_total_ok,method_version
500,O00,Q04,14284,7501,553,6230,52.513302,3.871465,43.615234,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,O00,Q05,14284,7501,2523,4260,52.513302,17.66312,29.823579,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OX25,Q01,14284,7375,664,6245,51.631196,4.648558,43.720246,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OX25,Q02,14284,7375,751,6158,51.631196,5.257631,43.111173,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OX25,Q03,14284,7375,1593,5316,51.631196,11.152338,37.216466,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OX25,Q04,14284,7375,542,6367,51.631196,3.794455,44.574349,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OX25,Q05,14284,7375,2428,4481,51.631196,16.99804,31.370764,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OY25,Q01,14284,7323,698,6263,51.267152,4.886586,43.846262,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OY25,Q02,14284,7323,814,6147,51.267152,5.698684,43.034164,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OY25,Q03,14284,7323,1623,5338,51.267152,11.362363,37.370484,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OY25,Q04,14284,7323,569,6392,51.267152,3.983478,44.74937,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OY25,Q05,14284,7323,2474,4487,51.267152,17.320078,31.41277,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OXY25,Q01,14284,7113,735,6436,49.796976,5.145617,45.057407,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OXY25,Q02,14284,7113,820,6351,49.796976,5.740689,44.462335,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OXY25,Q03,14284,7113,1620,5551,49.796976,11.341361,38.861663,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OXY25,Q04,14284,7113,615,6556,49.796976,4.305517,45.897508,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,OXY25,Q05,14284,7113,2604,4567,49.796976,18.230188,31.972837,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,O00,Q01,14284,5400,436,8448,37.804537,3.052366,59.143097,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,O00,Q02,14284,5400,556,8328,37.804537,3.892467,58.302996,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,O00,Q03,14284,5400,1351,7533,37.804537,9.458135,52.737328,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,O00,Q04,14284,5400,313,8571,37.804537,2.191263,60.004201,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,O00,Q05,14284,5400,2466,6418,37.804537,17.264072,44.931392,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OX25,Q01,14284,5579,656,8049,39.057687,4.592551,56.349762,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
