support_id,unit,unit_assignment_status,domain,domain_assignment_status,x_5880,y_5880
SP5-0007-0076,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7717500.0
SP5-0007-0077,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7722500.0
SP5-0007-0078,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7727500.0
SP5-0007-0079,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7732500.0
SP5-0007-0080,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7737500.0
SP5-0007-0081,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7742500.0
SP5-0007-0082,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7747500.0
SP5-0007-0083,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7752500.0
SP5-0007-0084,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7757500.0
SP5-0007-0085,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7762500.0
SP5-0007-0086,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7767500.0
SP5-0007-0087,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7772500.0
SP5-0007-0088,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7777500.0
SP5-0007-0089,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7782500.0
SP5-0007-0090,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7787500.0
SP5-0007-0091,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7792500.0
SP5-0007-0092,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7797500.0
SP5-0007-0093,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7802500.0
SP5-0007-0094,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7807500.0
SP5-0007-0095,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7812500.0
SP5-0007-0096,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7817500.0
SP5-0007-0097,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7822500.0
SP5-0007-0098,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7827500.0
SP5-0007-0099,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7832500.0
SP5-0007-0100,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7837500.0
SP5-0007-0101,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7842500.0
SP5-0007-0102,Embasamento Indiferenciado,OK,Fraturada (Fr),OK,4597500.0,7847500.0
SP5-0007-0103,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7852500.0
SP5-0007-0104,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7857500.0
SP5-0007-0105,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7862500.0
SP5-0007-0106,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7867500.0
SP5-0007-0107,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7872500.0
SP5-0007-0108,Formação Xaraiés,OK,Cárstica (K),OK,4597500.0,7877500.0
SP5-0008-0042,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7547500.0
SP5-0008-0043,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7552500.0
SP5-0008-0044,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7557500.0
SP5-0008-0045,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7562500.0
SP5-0008-0046,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7567500.0
SP5-0008-0047,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7572500.0
SP5-0008-0048,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7577500.0
SP5-0008-0049,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7582500.0
SP5-0008-0050,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7587500.0
SP5-0008-0051,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7592500.0
SP5-0008-0052,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7597500.0
SP5-0008-0053,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7602500.0
SP5-0008-0054,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7607500.0
SP5-0008-0055,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7612500.0
SP5-0008-0056,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7617500.0
SP5-0008-0057,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7622500.0
SP5-0008-0058,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7627500.0
SP5-0008-0059,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7632500.0
SP5-0008-0060,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7637500.0
SP5-0008-0061,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7642500.0
SP5-0008-0062,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7647500.0
SP5-0008-0063,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7652500.0
SP5-0008-0064,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7657500.0
SP5-0008-0065,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7662500.0
SP5-0008-0066,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7667500.0
SP5-0008-0067,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7672500.0
SP5-0008-0069,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7682500.0
SP5-0008-0070,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7687500.0
SP5-0008-0071,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,7692500.0
SP5-0008-0072,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7697500.0
SP5-0008-0073,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7702500.0
SP5-0008-0074,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7707500.0
SP5-0008-0075,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7712500.0
SP5-0008-0076,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7717500.0
SP5-0008-0077,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7722500.0
SP5-0008-0078,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7727500.0
SP5-0008-0079,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7732500.0
SP5-0008-0080,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7737500.0
SP5-0008-0081,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7742500.0
SP5-0008-0082,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7747500.0
SP5-0008-0083,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7752500.0
SP5-0008-0084,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7757500.0
SP5-0008-0085,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7762500.0
SP5-0008-0086,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7767500.0
SP5-0008-0087,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7772500.0
SP5-0008-0088,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7777500.0
SP5-0008-0089,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7782500.0
SP5-0008-0090,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7787500.0
SP5-0008-0091,Grupo Corumbá,OK,Cárstica (K),OK,4602500.0,7792500.0
SP5-0008-0092,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7797500.0
SP5-0008-0093,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7802500.0
SP5-0008-0094,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7807500.0
SP5-0008-0095,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7812500.0
