cell_id,scale_km2,variant,area_effective_km2,area_effective_pct_nominal,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,gap_E01_median_km,gap_E01_p90_km,gap_E07_median_km,gap_E07_p90_km,gap_E09_median_km,gap_E09_p90_km,gap_E10_median_km,gap_E10_p90_km,hydro_support_points_n,hydro_support_units_n,hydro_support_dominant_pct,hydro_support_entropy,hydro_support_classes_n
SCALE-500-O00-00464,500,O00,499.9999999999812,99.99999999999623,3,3,3,2,2,2,2,2,0,1,2,1,6.1041037841121115,10.807434409195182,6.491381037018021,11.507066887171094,34.46177275309992,41.09542910420057,12.447568260330337,16.98056583333765,20,2,60.0,0.9709505944546688,2
SCALE-500-O00-00465,500,O00,499.9999999999812,99.99999999999623,4,4,3,4,4,4,0,0,0,0,1,4,5.758001790209347,11.693887019101556,21.67393239334516,31.09456477823149,42.735631131024256,47.50553116778842,27.75818065225299,34.69603223059393,20,2,50.0,1.0,2
SCALE-500-O00-00466,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,13.287709415197245,16.701481835156002,20.926175629358955,29.543461453954528,32.27869678493019,39.612111462061975,20.85240826121187,29.505134418340255,20,2,90.0,0.46899559358928117,2
SCALE-500-O00-00467,500,O00,499.9999999999812,99.99999999999623,2,2,2,2,2,2,1,1,0,2,1,1,7.171586934123509,11.661883835898525,7.963835406590468,12.272251703292985,18.5571277776735,26.791016961234238,7.859046067178047,12.272251703292985,18,2,83.33333333333334,0.6500224216483541,2
SCALE-500-O00-00468,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,21.535150699201655,28.178984194692674,25.008283462549382,32.57564637075696,26.09837100921199,33.58959282679223,22.355837226221368,29.722282203415805,20,2,90.0,0.46899559358928117,2
SCALE-500-O00-00469,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,22.06793317541787,29.051783024816395,47.98681970975562,53.83954429995991,48.0501424234038,55.77788844106993,22.06793317541787,29.051783024816395,20,1,100.0,,1
SCALE-500-O00-00470,500,O00,499.9999999999812,99.99999999999623,1,1,1,1,1,1,0,0,0,1,0,1,13.511569826221844,21.138679402466956,40.919255260637755,48.499659675795684,67.64237876208907,74.52560227700286,13.511569826221844,21.138679402466956,20,1,100.0,,1
SCALE-500-O00-00471,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,20.263321265594065,25.49568937335369,20.453130723238488,27.641054779060454,81.0148112019869,88.7280768844668,20.263321265594065,25.49568937335369,20,1,100.0,,1
SCALE-500-O00-00472,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,20.119517648134746,24.554810398851853,20.119517648134746,24.554810398851853,94.18608004596528,99.10214832837937,20.119517648134746,24.554810398851853,18,2,72.22222222222221,0.8524051786494786,2
SCALE-500-O00-00473,500,O00,499.9999999999812,99.99999999999623,3,3,3,3,3,2,1,1,0,3,2,1,13.775379895972932,20.63845646668851,14.60838365969269,22.731273929912014,80.33460749345434,87.75606869034816,13.775379895972932,20.63845646668851,20,2,80.0,0.7219280948873623,1
SCALE-500-O00-00474,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,16.63385058649139,22.389049661671326,19.754450147878977,27.472370618024357,65.6527193919135,73.59434489591683,16.63385058649139,22.389049661671326,20,2,90.0,0.46899559358928117,1
SCALE-500-O00-00475,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,23.422816875275224,28.78909701813893,33.94528120547706,39.37549964983574,48.038913791715046,55.69192509833267,23.422816875275224,28.78909701813893,20,1,100.0,,1
SCALE-500-O00-00476,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,11.238464278372604,16.976116117361677,19.125788336231814,24.719015743180336,30.686162140627417,37.824840480048124,11.238464278372604,17.14126930119347,20,1,100.0,,1
SCALE-500-O00-00477,500,O00,295.72339830428325,59.144679660856646,2,2,0,2,2,2,0,0,0,1,0,2,4.358767927869417,8.06474216263029,16.949513150164144,19.585814474472947,24.70943143953803,34.70917464490903,6.503228233196432,11.002669279851697,11,3,63.63636363636363,0.782775952814142,2
