well_id,scale_km2,cell_id,assignment_method,assignment_distance_m,boundary_candidates_n
3500073188,100,SCALE-100-O00-02751,POINT_IN_POLYGON_WGS84,0.0,1
3500073181,100,SCALE-100-O00-01687,POINT_IN_POLYGON_WGS84,0.0,1
3500073221,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073232,100,SCALE-100-O00-01772,POINT_IN_POLYGON_WGS84,0.0,1
3500073231,100,SCALE-100-O00-01380,POINT_IN_POLYGON_WGS84,0.0,1
3500073227,100,SCALE-100-O00-00404,POINT_IN_POLYGON_WGS84,0.0,1
3500073265,100,SCALE-100-O00-01697,POINT_IN_POLYGON_WGS84,0.0,1
3500073263,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073260,100,SCALE-100-O00-01752,POINT_IN_POLYGON_WGS84,0.0,1
3500073277,100,SCALE-100-O00-00805,POINT_IN_POLYGON_WGS84,0.0,1
3500073275,100,SCALE-100-O00-01214,POINT_IN_POLYGON_WGS84,0.0,1
3500073289,100,SCALE-100-O00-00459,POINT_IN_POLYGON_WGS84,0.0,1
3500073343,100,SCALE-100-O00-00169,POINT_IN_POLYGON_WGS84,0.0,1
3500073341,100,SCALE-100-O00-00265,POINT_IN_POLYGON_WGS84,0.0,1
3500073358,100,SCALE-100-O00-01677,POINT_IN_POLYGON_WGS84,0.0,1
3500073356,100,SCALE-100-O00-01763,POINT_IN_POLYGON_WGS84,0.0,1
3500073385,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500045258,100,SCALE-100-O00-00669,POINT_IN_POLYGON_WGS84,0.0,1
3500073409,100,SCALE-100-O00-02171,POINT_IN_POLYGON_WGS84,0.0,1
3500073406,100,SCALE-100-O00-01624,POINT_IN_POLYGON_WGS84,0.0,1
3500073453,100,SCALE-100-O00-00405,POINT_IN_POLYGON_WGS84,0.0,1
3500073447,100,SCALE-100-O00-00977,POINT_IN_POLYGON_WGS84,0.0,1
3500073446,100,SCALE-100-O00-00523,POINT_IN_POLYGON_WGS84,0.0,1
3500073457,100,SCALE-100-O00-00558,POINT_IN_POLYGON_WGS84,0.0,1
3500073473,100,SCALE-100-O00-01154,POINT_IN_POLYGON_WGS84,0.0,1
3500073537,100,SCALE-100-O00-02669,POINT_IN_POLYGON_WGS84,0.0,1
3500073551,100,SCALE-100-O00-00074,POINT_IN_POLYGON_WGS84,0.0,1
3500030618,100,SCALE-100-O00-01292,POINT_IN_POLYGON_WGS84,0.0,1
3500065096,100,SCALE-100-O00-02455,POINT_IN_POLYGON_WGS84,0.0,1
3500073213,100,SCALE-100-O00-00225,POINT_IN_POLYGON_WGS84,0.0,1
3500027250,100,SCALE-100-O00-01554,POINT_IN_POLYGON_WGS84,0.0,1
3500027261,100,SCALE-100-O00-00186,POINT_IN_POLYGON_WGS84,0.0,1
3500027264,100,SCALE-100-O00-00464,POINT_IN_POLYGON_WGS84,0.0,1
3500027270,100,SCALE-100-O00-01679,POINT_IN_POLYGON_WGS84,0.0,1
3500065031,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500065039,100,SCALE-100-O00-01623,POINT_IN_POLYGON_WGS84,0.0,1
3500045691,100,SCALE-100-O00-01492,POINT_IN_POLYGON_WGS84,0.0,1
3500053083,100,SCALE-100-O00-02083,POINT_IN_POLYGON_WGS84,0.0,1
3500053086,100,SCALE-100-O00-02151,POINT_IN_POLYGON_WGS84,0.0,1
3500026918,100,SCALE-100-O00-00458,POINT_IN_POLYGON_WGS84,0.0,1
3500027077,100,SCALE-100-O00-00314,POINT_IN_POLYGON_WGS84,0.0,1
3500045670,100,SCALE-100-O00-00465,POINT_IN_POLYGON_WGS84,0.0,1
3500045703,100,SCALE-100-O00-01587,POINT_IN_POLYGON_WGS84,0.0,1
3500045711,100,SCALE-100-O00-01337,POINT_IN_POLYGON_WGS84,0.0,1
3500065044,100,SCALE-100-O00-01689,POINT_IN_POLYGON_WGS84,0.0,1
3500065070,100,SCALE-100-O00-02911,POINT_IN_POLYGON_WGS84,0.0,1
