well_id,latitude,longitude,municipality_declared,sgb2024_unit_aflorante,hydrolithologic_domain,source_snapshots_n,source_snapshot_overlap,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,exact_coordinate_group,exact_coordinate_colocation,coordinate_site_id,duplicate_candidate_level,duplicate_candidate_partners_n,duplicate_candidate_partners,review_cluster_high_id,review_cluster_all_id,nearest_neighbor_m,nn_lt_100m,nn_lt_500m,nn_lt_1000m,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_parameter_types_n,hydraulic_parameter_types_n,chem_source_datasets_n,hydraulic_source_datasets_n,specific_capacity_both_sources,specific_capacity_source_echo,domain_aquifer_context,domain_vertical_documentation,domain_water_level,domain_hydraulic,domain_chemistry,documentary_domains_n,dated_domains_n
3500022663,-22.267776999999967,-54.81222199999996,Dourados,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022663,NONE,0,,3500022663,3500022663,84.18,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022786,-20.68861099999998,-55.27888799999994,Dois Irmãos do Buriti,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022786,NONE,0,,3500022786,3500022786,57.75,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500023153,-23.103887999999927,-55.23055499999998,Amambai,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500023153,NONE,0,,3500023153,3500023153,47.85,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022916,-20.41027699999995,-54.589999999999975,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022916,NONE,0,,3500022916,3500022916,757.0,FALSE,FALSE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022858,-21.61749999999995,-55.16138799999993,Maracaju,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022858,NONE,0,,3500022858,3500022858,84.26,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022864,-21.59888799999993,-55.15999999999997,Maracaju,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022864,NONE,0,,3500022864,3500022864,864.12,FALSE,FALSE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022941,-20.41805499999998,-54.58138799999995,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022941,NONE,0,,3500022941,3500022941,222.51,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500065100,-20.549999999999955,-54.57194399999997,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065100,NONE,0,,3500065100,3500065100,164.04,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500065115,-22.226110999999943,-54.81194399999998,Dourados,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065115,NONE,0,,3500065115,3500065115,101.75,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500065120,-22.22111099999995,-54.81305599999996,Dourados,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065120,NONE,0,,3500065120,3500065120,45.33,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500065122,-22.039999999999964,-54.61388899999997,Douradina,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065122,NONE,0,,3500065122,3500065122,186.52,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500071753,-18.71624699999996,-53.169018999999935,Costa Rica,Grupo Caiuá,Granular,1,FALSE,0,0,,,FALSE,3500071753,NONE,0,,3500071753,3500071753,7168.87,FALSE,FALSE,FALSE,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0
3500070931,-18.92218299999996,-54.843407999999954,Rio Verde de Mato Grosso,Formação Ponta Grossa,Granular,1,FALSE,0,0,,,FALSE,3500070931,NONE,0,,3500070931,3500070931,270.93,FALSE,TRUE,TRUE,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0
3500070775,-20.478682999999933,-54.594180999999935,Campo Grande,Formação Serra Geral,Fraturada,1,FALSE,0,0,,,FALSE,3500070775,NONE,0,,3500070775,3500070775,173.55,FALSE,TRUE,TRUE,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0
3500070765,-22.254880999999955,-53.33883599999996,Nova Andradina,Grupo Caiuá,Granular,1,FALSE,0,0,,,FALSE,3500070765,NONE,0,,3500070765,3500070765,184.95,FALSE,TRUE,TRUE,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0
3500069382,-21.08714699999996,-55.19942499999996,Sidrolândia,Grupo Caiuá,Granular,1,FALSE,0,0,,,FALSE,3500069382,NONE,0,,3500069382,3500069382,22.53,TRUE,TRUE,TRUE,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0
3500022480,-20.52361099999996,-54.58833299999998,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022480,NONE,0,,3500022480,3500022480,36.78,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022496,-20.46999999999997,-54.572499999999934,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022496,NONE,0,,3500022496,3500022496,504.82,FALSE,FALSE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022541,-22.482776999999945,-54.30555499999997,Jateí,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022541,NONE,0,,3500022541,3500022541,135.61,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022564,-18.53555499999993,-53.13444399999997,Costa Rica,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022564,NONE,0,,3500022564,3500022564,216.81,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022578,-20.78805499999993,-51.71555499999994,Três Lagoas,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022578,NONE,0,,3500022578,3500022578,369.66,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022586,-18.991943999999933,-52.37083299999995,Cassilândia,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022586,NONE,0,,3500022586,3500022586,9123.48,FALSE,FALSE,FALSE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022604,-17.58611099999996,-54.74999999999994,Sonora,Formação Furnas,Granular,2,TRUE,4,4,100.0,,FALSE,3500022604,NONE,0,,3500022604,3500022604,65.27,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022611,-18.909999999999968,-54.83749999999998,Rio Verde de Mato Grosso,Formação Furnas,Granular,2,TRUE,4,4,100.0,,FALSE,3500022611,NONE,0,,3500022611,3500022611,30.62,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022649,-21.241943999999933,-54.822221999999954,Sidrolândia,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022649,NONE,0,,3500022649,3500022649,5154.04,FALSE,FALSE,FALSE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
