well_id,source_current_present,source_sgb2024_present,latitude,longitude,municipality_declared,municipality_spatial,coordinate_quality_status,nearest_neighbor_m,exact_coordinate_group,nature,situation,use_water,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,aquifer_comparison_status,geology_sgb_unit,geology_sgb_sigla,depth_current_m,depth_sgb2024_profundi_1_m,depth_sgb2024_profundida_m,static_level_current_m,static_level_sgb2024_m,dynamic_level_current_m,dynamic_level_sgb2024_m,specific_capacity_current,specific_capacity_sgb2024,test_type_sgb2024,test_date_sgb2024,interpretation_method_sgb2024,transmissivity_sgb2024,permeability_sgb2024,storage_coefficient_sgb2024,stabilized_yield_sgb2024,pump_type_sgb2024,ph_current,electrical_conductivity_current,electrical_conductivity_sgb2024,temperature_current,temperature_sgb2024,turbidity_current,turbidity_sgb2024,chemical_parameter_current,chemical_concentration_current,drilling_date_current,registration_date_current,installation_date_current,drilling_date_sgb2024,analysis_date_sgb2024,collection_date_sgb2024,drilling_method_sgb2024,driller_sgb2024,formation_sgb2024,penetration_type_sgb2024,hydraulic_condition_sgb2024,capture_type_sgb2024,atlas_qlog_record,atlas_explicit_profile,rimas_flag_current
3500023021,True,True,-23.798887999999977,-54.104165999999964,Eldorado,Eldorado,OK,91.77,,Poço tubular,Bombeando,,Caiua,Grupo Caiuá,Formação Botucatu,CONSISTENTE,Grupo Caiuá,K2c,157,157.0,0.0,16,16.0,68.49,68.49,0.305,0.305,Rebaixamento,1986-03-28,,,,,16.0,,,,0.0,,,,,,,1986-03-28,2008-09-05,1986-03-28,1986-03-28,,,Rotativo,AT,Formação Caiuá,,,,0.75,False,False
3500023038,True,True,-22.215832999999975,-54.75222199999996,Dourados,Dourados,OK,274.06,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,150,150.0,0.0,2,2.0,43,43.0,1.171,1.171,Rebaixamento,2001-06-04,,,,,48.0,Bomba submersa,,,0.0,,,,,,,1981-10-03,2008-09-11,1981-10-03,1981-10-03,,,Rotativo,LAPA,Formação Serra Geral,,,,0.75,False,False
3500023084,True,True,-21.114165999999955,-56.49527699999999,Bonito,Bonito,OK,96.5,,Poço tubular,Bombeando,,Cuiaba,Grupo Cuiaba,,CONSISTENTE,"Litofácies Cuiabá, filito",NPcufl,20,20.0,0.0,8,8.0,15,15.0,0.214,0.214,Rebaixamento,1997-02-01,,,,,1.5,,,,0.0,,,,,,,1997-02-01,2008-09-30,1997-02-01,1997-02-01,,,Rotativo,SONDAGUA,Grupo Cuiabá,,,,0.75,False,False
3500023116,True,True,-21.849999999999966,-54.75166599999994,Rio Brilhante,Rio Brilhante,OK,2006.29,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,120,120.0,0.0,11,11.0,44.6,44.6,0.625,0.625,Rebaixamento,2001-02-24,,,,,21.0,,,,0.0,,,,,,,2001-02-24,2008-10-02,2001-02-24,2001-02-24,,,Rotativo,HIDROSUL,Formação Serra Geral,,,,0.75,False,False
3500023117,True,True,-21.78555499999993,-54.75166599999994,Rio Brilhante,Rio Brilhante,OK,2812.2,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,135,135.0,0.0,5,5.0,12,12.0,3.429,3.429,Rebaixamento,2001-02-27,,,,,24.0,,,,0.0,,,,,,,2001-02-27,2008-10-02,2001-02-27,2001-02-27,,,Rotativo,HIDROSUL,Formação Serra Geral,,,,0.75,False,False
3500023118,True,True,-21.20027699999997,-55.95055499999995,Nioaque,Nioaque,OK,6334.82,,Poço tubular,Bombeando,,Serra geral,Formação Botucatu,,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Formação Botucatu,K1bt,130,130.0,0.0,12,12.0,30,30.0,0.628,0.628,Rebaixamento,2002-01-12,,,,,11.3,,,,0.0,,,,,,,2001-01-12,2008-10-02,2001-01-12,2001-01-12,,,Rotativo,ROFF,Formação Serra Geral,,,,0.75,False,False
3500023121,True,True,-19.31833299999994,-57.466943999999955,Corumbá,Corumbá,OK,580.3,,Poço tubular,Bombeando,,Não definido,Grupo Corumbá,,UNKNOWN,Formação Bocaina,NP3bo,90,90.0,0.0,20,20.0,62.1,62.1,0.285,0.285,Rebaixamento,1990-10-10,,,,,12.0,,,,0.0,,,,,,,1990-10-10,2008-10-02,1990-10-10,1990-10-10,,,Rotativo,HIDROSOMAT LTDA,Formação Bocaína,,,,0.75,False,False
3500026986,True,True,-21.25138899999996,-52.03305599999993,Brasilândia,Brasilândia,OK,84.18,,Poço tubular,Bombeando,Abastecimento urbano,Caiua,Grupo Caiuá,Formação Botucatu,CONSISTENTE,Formação Santo Anastácio,K2sa,120,120.0,0.0,16,16.0,36,36.0,2.019,2.019,,2010-01-25,,,,,40.37,,5.9000001,,0.0,24.1000004,"24,1","0,20","0,2",Solidos dissolvidos totais,59.5,1991-02-27,2009-10-15,,1991-02-27,14/09/2010,13/09/2010,,HIDROSSOMAT LTDA,Formação Caiuá,,,,0.75,False,False
3500027012,True,True,-19.178332999999952,-57.63777799999997,Ladário,Ladário,OK,67.8,,Poço tubular,Fechado,,Não definido,Embasamento Indiferenciado,,UNKNOWN,,,60,60.0,25.0,22.6,22.6,33,33.0,2.308,2.308,,2002-10-18,,,,,24.0,,,,0.0,,,,,,,2002-10-18,2009-12-28,,2002-10-18,,,,CONSTRUVAG - CONSTRUÇÃO E HIDROGEOLOGIA LTDA,Pré-Cambriano Indiviso,,,,0.75,False,False
3500027035,True,True,-23.66749999999996,-54.56611099999998,Iguatemi,Iguatemi,OK,42.17,,Poço tubular,Bombeando,,Caiua,Grupo Caiuá,Formação Botucatu,CONSISTENTE,Grupo Caiuá,K2c,155,155.0,20.0,9.6,9.6,65.94,65.94,0.534,0.534,,2009-08-27,,,,,30.11,,,,0.0,,,,,,,1980-09-10,2010-01-21,,1980-09-10,,,,NOPAR LTDA,Formação Caiuá,,,,0.75,False,False
