well_id,latitude,longitude,inside_ms_ibge2025,declared_municipality,spatial_municipality,municipality_match,exact_coordinate_group,nearest_other_well_id,nearest_neighbor_m,coordinate_quality_status,coordinate_quality_reasons
3500027139,-22.258055999999954,-54.81611099999998,True,Dourados,Dourados,True,,3500022831,106.06,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027152,-19.557777999999928,-54.039443999999946,True,Camapuã,Camapuã,True,,3500065023,42.17,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027156,-19.53305599999993,-54.04055599999998,True,Camapuã,Camapuã,True,,3500023247,126.19,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027179,-22.077777999999967,-54.18888899999996,True,Deodápolis,Deodápolis,True,,3500045537,6870.51,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027190,-21.45138899999995,-54.37555599999996,True,Nova Alvorada do Sul,Nova Alvorada do Sul,True,,3500023270,57.75,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027202,-21.30527799999993,-52.830832999999984,True,Santa Rita do Pardo,Santa Rita do Pardo,True,,3500022977,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027229,-22.247221999999965,-53.33472199999994,True,Nova Andradina,Nova Andradina,True,,3500027266,42.17,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027277,-23.096666999999968,-55.22805599999998,True,Amambai,Amambai,True,,3500022683,105.97,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027295,-22.508055999999954,-55.71833299999997,True,Ponta Porã,Ponta Porã,True,,3500022735,91.77,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027302,-19.391943999999967,-57.403332999999975,True,Corumbá,Corumbá,True,,3500022679,84.26,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027306,-22.565277999999978,-55.684721999999965,True,Ponta Porã,Ponta Porã,True,,3500022739,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027307,-22.516388999999947,-55.706388999999945,True,Ponta Porã,Ponta Porã,True,,3500022740,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045592,-19.41777799999994,-51.66805599999998,True,Paranaíba,Paranaíba,True,,3500068743,10499.73,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023264,-21.914165999999966,-54.47194399999995,True,Dourados,Dourados,True,,3500026978,3377.59,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023267,-21.768054999999947,-54.56749999999994,True,Rio Brilhante,Rio Brilhante,True,EXACT_COORD_0009,3500023266,0.0,REVIEW,coordenada idêntica compartilhada por IDs distintos
3500023270,-21.45138799999995,-54.37499999999994,True,Nova Alvorada do Sul,Nova Alvorada do Sul,True,,3500027190,57.75,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023278,-21.72388799999993,-52.26527699999997,True,Bataguassu,Bataguassu,True,,3500022972,42.1,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023353,-23.91027699999995,-55.28361099999995,True,Paranhos,Paranhos,True,,3500071748,12382.82,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045665,-18.463332999999977,-53.16916699999996,True,Costa Rica,Costa Rica,True,,3500072218,28.95,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045312,-19.02249999999998,-57.62083299999995,True,Corumbá,Ladário,False,,3500073348,41.25,REVIEW,município declarado difere do município espacial
3500027051,-21.975277999999946,-54.67444399999994,True,Itaporã,Itaporã,True,,3500022870,84.25,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027116,-22.63861099999997,-54.819721999999956,True,Caarapó,Caarapó,True,,3500023367,308.32,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022476,-20.48249999999996,-54.62861099999998,True,Campo Grande,Campo Grande,True,,3500022475,252.42,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022752,-22.746665999999948,-55.48305499999998,True,Aral Moreira,Aral Moreira,True,,3500027314,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
