evidence_code,scale_a_km2,scale_b_km2,grid_family,support_points_n,spearman_density_per100km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct
E09,100,1000,SCALE_PRIMARY_O00_V1,14284,0.2888141488544826,0.10826771653543307,6.3427611313357595,0.9731167740128814,6.909829179501541
E09,150,250,SCALE_PRIMARY_O00_V1,14284,0.41943331982192344,0.26525198938992045,1.9392327079249512,1.3371604592551105,2.00224026883226
E09,150,500,SCALE_PRIMARY_O00_V1,14284,0.4489507402726368,0.25,3.1083730047605713,1.3371604592551105,3.843461215345841
E09,150,1000,SCALE_PRIMARY_O00_V1,14284,0.3276548171327138,0.1425800193986421,6.188742649117894,1.3371604592551105,6.909829179501541
E09,250,500,SCALE_PRIMARY_O00_V1,14284,0.5267853522262008,0.342443729903537,2.863343601232148,2.00224026883226,3.843461215345841
E09,250,1000,SCALE_PRIMARY_O00_V1,14284,0.3660513153639496,0.1897196261682243,6.069728367404088,2.00224026883226,6.909829179501541
E09,500,1000,SCALE_PRIMARY_O00_V1,14284,0.4151722924810554,0.26732673267326734,6.216746009521143,3.843461215345841,6.909829179501541
E10,100,150,SCALE_PRIMARY_O00_V1,14284,0.6237749271269364,0.49018385789965724,11.453374404928592,14.526743209185103,18.95127415289835
E10,100,250,SCALE_PRIMARY_O00_V1,14284,0.5879429852399823,0.4354224816036539,15.576869224306916,14.526743209185103,25.077009241108932
E10,100,500,SCALE_PRIMARY_O00_V1,14284,0.528469653432442,0.3468864468864469,24.96499579949594,14.526743209185103,36.95743489218707
E10,100,1000,SCALE_PRIMARY_O00_V1,14284,0.46775693615768776,0.2657093927018838,39.022682721926635,14.526743209185103,52.737328479417535
E10,150,250,SCALE_PRIMARY_O00_V1,14284,0.6200095754245606,0.4995231282784931,14.694763371604594,18.95127415289835,25.077009241108932
E10,150,500,SCALE_PRIMARY_O00_V1,14284,0.5792340998335247,0.4270907791279485,22.444693363203587,18.95127415289835,36.95743489218707
E10,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5267014047082456,0.3387370898156622,35.410249229907585,18.95127415289835,52.737328479417535
E10,250,500,SCALE_PRIMARY_O00_V1,14284,0.6351100854265701,0.5230319697490546,19.42733127975357,25.077009241108932,36.95743489218707
