support_id,x_5880,y_5880,hydro_surface_unit,hydro_surface_domain,question_code,priority_code_100km2,priority_code_150km2,priority_code_250km2,priority_code_500km2,priority_code_1000km2,priority_exact_all_scales,priority_changes_across_scales_n,priority_min_code_across_scales,priority_max_code_across_scales,integrated_priority_calculated,method_version
SP5-0005-0099,4587500.0,7832500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,2,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0100,4587500.0,7837500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,2,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0101,4587500.0,7842500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0102,4587500.0,7847500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0103,4587500.0,7852500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0043,4592500.0,7552500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0044,4592500.0,7557500.0,Grupo Corumbá,Cárstica (K),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0045,4592500.0,7562500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0048,4592500.0,7577500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0053,4592500.0,7602500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0055,4592500.0,7612500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0056,4592500.0,7617500.0,Embasamento Indiferenciado,Fraturada (Fr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0072,4592500.0,7697500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0075,4592500.0,7712500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0076,4592500.0,7717500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0077,4592500.0,7722500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0078,4592500.0,7727500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0079,4592500.0,7732500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0080,4592500.0,7737500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0081,4592500.0,7742500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0082,4592500.0,7747500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0083,4592500.0,7752500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0084,4592500.0,7757500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0085,4592500.0,7762500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0086,4592500.0,7767500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
