well_id,municipality,hydro_unit,domain,layer_code,layer_name,latest_evidence_date,latest_evidence_age_years,dated_domains_n,time_series_status
3500022657,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1982-03-27,44.425279095395524,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022666,Guia Lopes da Laguna,Formação Aquidauana,Granular,T04,Evidência hidrogeológica datada,1978-02-02,48.57047030397612,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022857,Maracaju,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2004-04-16,22.368700247096108,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022887,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1976-11-13,49.791576829092996,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022920,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1994-01-14,32.62216198826807,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022937,Angélica,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1978-03-17,48.45274030267562,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022952,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1982-06-25,44.17886746476656,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022960,Água Clara,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2002-03-19,24.446771665400384,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022969,Água Clara,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2002-03-24,24.43308213036544,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023007,Rio Verde de Mato Grosso,Formação Furnas,Granular,T04,Evidência hidrogeológica datada,2002-05-12,24.298924687023003,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023099,Ribas do Rio Pardo,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1992-02-09,34.552386428194964,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023102,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,1980-02-20,46.52251586274872,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027135,Pedro Gomes,Formação Ponta Grossa,Granular,T04,Evidência hidrogeológica datada,2009-08-27,17.00514042040562,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023172,Angélica,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1978-03-21,48.44178867464766,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023008,Rio Verde de Mato Grosso,Formação Furnas,Granular,T04,Evidência hidrogeológica datada,1974-09-01,51.99285406271176,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023365,Itaquiraí,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1992-08-06,34.06230107394402,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045632,Dourados,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2012-06-20,14.190572017221434,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027124,Ribas do Rio Pardo,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2011-11-16,14.78469783773794,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022561,Cassilândia,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,2003-03-21,23.4419597938356,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022927,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2003-08-20,23.02579792877335,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500065108,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2019-09-06,6.978924960813706,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027166,Coxim,Formação Ponta Grossa,Granular,T04,Evidência hidrogeológica datada,2009-08-27,17.00514042040562,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045329,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2009-09-24,16.928479024209942,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500026953,Dois Irmãos do Buriti,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2008-10-20,17.856629499579046,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500026921,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,2008-06-17,18.19886787545261,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023159,Aral Moreira,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1981-05-08,45.30962305865281,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500026943,Três Lagoas,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2008-10-09,17.88674647665592,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500026975,Rio Brilhante,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2007-07-17,19.11880462980075,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027002,Itaporã,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2008-10-19,17.859367406586035,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027280,Chapadão do Sul,Formação Cachoeirinha,Granular,T04,Evidência hidrogeológica datada,2011-04-12,15.381561565261435,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023351,Paranhos,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1981-10-13,44.87703375154863,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023369,Caarapó,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1980-10-21,45.85446655304352,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023370,Caarapó,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1984-07-23,42.10079604646228,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023388,Paranaíba,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1987-07-05,39.15207019993566,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023209,Terenos,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1985-07-14,41.126101151974375,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023232,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,1988-07-08,38.1417825143569,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023323,Paranaíba,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,1987-07-01,39.16302182796361,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023394,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1997-04-30,29.33119776586788,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023354,Sete Quedas,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1992-10-15,33.870647583454826,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027267,Nova Andradina,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2010-01-26,16.588978555343367,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022822,Terenos,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1984-07-16,42.119961395511204,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022472,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1992-08-27,34.004805026797264,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022596,Camapuã,Formação Botucatu,Granular,T04,Evidência hidrogeológica datada,1994-10-01,31.910306166451058,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022801,Nioaque,Formação Botucatu,Granular,T04,Evidência hidrogeológica datada,1987-05-15,39.29170345729207,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022873,Rio Brilhante,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1987-04-29,39.33550996940389,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022882,Dourados,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1973-03-07,53.47953756750652,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022980,Ribas do Rio Pardo,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1979-08-31,46.99617377495773,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023241,Figueirão,Formação Botucatu,Granular,T04,Evidência hidrogeológica datada,1984-06-03,42.237691396811705,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500065127,Corguinho,Formação Botucatu,Granular,T04,Evidência hidrogeológica datada,2019-09-09,6.97071123979274,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045623,Três Lagoas,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2010-11-16,15.784033895288745,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022487,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1996-07-04,30.152569867964434,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022495,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1984-12-13,41.709275344462924,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022523,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1994-12-15,31.704963140926917,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022532,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1997-06-26,29.175137066469535,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022536,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1996-01-27,30.587897082075607,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022545,Ivinhema,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1978-04-10,48.38703053450789,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022562,Cassilândia,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,1984-01-23,42.59909512173419,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022623,Ponta Porã,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2002-02-04,24.56450166670089,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022625,Corumbá,Embasamento Indiferenciado,Fraturada,T04,Evidência hidrogeológica datada,1994-02-24,32.50990780098154,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022639,Rio Negro,Formação Furnas,Granular,T04,Evidência hidrogeológica datada,1984-05-03,42.32256651402835,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
