well_id,municipality,aquifer,depth_m,source,evidence_code,latitude,longitude
3500022909,Campo Grande,Serra geral,231.0,SIAGAS_MS_20260814,E02,-20.548610999999937,-54.572499999999934
3500022922,Campo Grande,Serra geral,108.0,SIAGAS_MS_20260814,E02,-20.553054999999972,-54.583054999999945
3500022934,Angélica,Caiua,70.3,SIAGAS_MS_20260814,E02,-22.150832999999977,-53.75666599999994
3500022945,Campo Grande,Serra geral,70.0,SIAGAS_MS_20260814,E02,-20.533054999999933,-54.601387999999986
3500022974,Bataguassu,Caiua,148.0,SIAGAS_MS_20260814,E02,-21.72305499999993,-52.41861099999994
3500022975,Bataguassu,Caiua,135.0,SIAGAS_MS_20260814,E02,-21.73222199999998,-52.42999999999995
3500022977,Santa Rita do Pardo,Caiua,150.0,SIAGAS_MS_20260814,E02,-21.30583299999995,-52.83138799999995
3500022992,Coxim,Furnas,150.0,SIAGAS_MS_20260814,E02,-18.511665999999934,-54.756943999999976
3500023001,Chapadão do Sul,Coberturas sedimentares Indiferenciadas,145.0,SIAGAS_MS_20260814,E02,-18.803610999999933,-52.623054999999965
3500023009,Coxim,Furnas,84.0,SIAGAS_MS_20260814,E02,-18.500276999999983,-54.68305499999997
3500023032,Ivinhema,Caiua,130.0,SIAGAS_MS_20260814,E02,-22.308887999999968,-53.831665999999984
3500023034,Corumbá,Não definido,94.7,SIAGAS_MS_20260814,E02,-19.10944399999994,-57.749165999999946
