well_id,municipality,aquifer,latest_evidence_date,evidence_type,age_years,source,evidence_code,latitude,longitude
3500045640,Nova Andradina,,2008-07-23,PUMPING_TEST,18.1,SGB_HIDRO_MS_2024_POCOS,E11,-22.29499999999996,-53.389999999999986
3500045639,Três Lagoas,,2008-10-31,PUMPING_TEST,17.826,SGB_HIDRO_MS_2024_POCOS,E11,-20.797499999999957,-51.643888999999945
3500045662,Três Lagoas,Serra geral,2010-09-16,CHEM_ANALYSIS,15.951,SGB_HIDRO_MS_2024_POCOS,E11,-20.797499999999957,-51.87805599999996
3500045671,Miranda,,2009-09-22,CHEM_ANALYSIS,16.934,SGB_HIDRO_MS_2024_POCOS,E11,-19.97277799999995,-56.30611099999999
3500045700,Campo Grande,Serra geral,2012-05-11,CHEM_ANALYSIS,14.3,SGB_HIDRO_MS_2024_POCOS,E11,-20.631388999999956,-54.56444399999998
3500065031,Campo Grande,Serra geral,2016-03-25,CHEM_ANALYSIS,10.428,SGB_HIDRO_MS_2024_POCOS,E11,-20.45333299999993,-54.60583299999996
3500065039,Campo Grande,Serra geral,2016-07-03,PUMPING_TEST,10.155,SGB_HIDRO_MS_2024_POCOS,E11,-20.554443999999933,-54.67277799999994
3500045691,Sidrolândia,Guarani,2009-08-04,CHEM_ANALYSIS,17.068,SGB_HIDRO_MS_2024_POCOS,E11,-20.74166699999995,-55.11916699999995
3500053083,Miranda,Coluvionar,2009-09-22,CHEM_ANALYSIS,16.934,SGB_HIDRO_MS_2024_POCOS,E11,-19.955832999999927,-56.35305599999998
3500053086,Miranda,Coluvionar,2010-01-01,PUMPING_TEST,16.657,SGB_HIDRO_MS_2024_POCOS,E11,-19.869166999999948,-56.52111099999996
3500026918,Ivinhema,Caiua,2008-12-05,CHEM_ANALYSIS,17.73,SGB_HIDRO_MS_2024_POCOS,E11,-22.281388999999933,-53.997221999999965
3500027077,Caarapó,Serra geral,2008-03-04,CHEM_ANALYSIS,18.486,SGB_HIDRO_MS_2024_POCOS,E11,-22.621666999999945,-54.82583299999993
3500045670,Batayporã,Caiua,2009-01-01,PUMPING_TEST,17.656,SGB_HIDRO_MS_2024_POCOS,E11,-22.284166999999968,-53.268055999999945
3500045703,Três Lagoas,Bauru,2012-08-31,CHEM_ANALYSIS,13.993,SGB_HIDRO_MS_2024_POCOS,E11,-20.64666699999998,-51.830555999999945
3500045711,Três Lagoas,Bauru,2012-03-01,CHEM_ANALYSIS,14.494,SGB_HIDRO_MS_2024_POCOS,E11,-20.984166999999957,-51.87527799999998
3500065044,Campo Grande,Serra geral,2016-07-29,CHEM_ANALYSIS,10.084,SGB_HIDRO_MS_2024_POCOS,E11,-20.53527799999995,-54.56166699999994
3500065070,Rio Verde de Mato Grosso,Furnas,2015-11-18,CHEM_ANALYSIS,10.779,SGB_HIDRO_MS_2024_POCOS,E11,-18.92805599999997,-54.853332999999964
3500065082,Três Lagoas,Caiua,2016-10-22,CHEM_ANALYSIS,9.851,SGB_HIDRO_MS_2024_POCOS,E11,-20.788888999999926,-51.66861099999994
3500023242,Figueirão,Guarani,2003-03-18,CHEM_ANALYSIS,23.45,SGB_HIDRO_MS_2024_POCOS,E11,-18.677221999999972,-53.636665999999934
3500065133,Alcinópolis,Guarani,2019-09-09,PUMPING_TEST,6.971,SGB_HIDRO_MS_2024_POCOS,E11,-18.25111099999998,-54.03888899999998
3500065013,Bataguassu,Bauru,2016-05-10,CHEM_ANALYSIS,10.303,SGB_HIDRO_MS_2024_POCOS,E11,-21.72388899999993,-52.25166699999994
3500065016,Bataguassu,Caiua,2016-01-27,CHEM_ANALYSIS,10.587,SGB_HIDRO_MS_2024_POCOS,E11,-21.718610999999953,-52.41833299999996
3500065018,Bodoquena,Cuiaba,2015-10-20,CHEM_ANALYSIS,10.858,SGB_HIDRO_MS_2024_POCOS,E11,-20.556388999999967,-56.67361099999994
3500065068,Rio Brilhante,Serra geral,2016-02-17,CHEM_ANALYSIS,10.53,SGB_HIDRO_MS_2024_POCOS,E11,-21.789721999999927,-54.55666699999995
3500068743,Paranaíba,Bauru,2023-05-29,PUMPING_TEST,3.253,SGB_HIDRO_MS_2024_POCOS,E11,-19.325046999999927,-51.689952999999946
3500068742,Três Lagoas,Bauru,2023-05-19,PUMPING_TEST,3.28,SGB_HIDRO_MS_2024_POCOS,E11,-19.99198599999994,-52.28885299999996
3500022591,Coxim,Furnas,1999-05-08,PUMPING_TEST,27.31,SGB_HIDRO_MS_2024_POCOS,E11,-18.50583299999994,-54.75527699999998
3500026944,Ivinhema,Caiua,2009-01-20,CHEM_ANALYSIS,17.604,SGB_HIDRO_MS_2024_POCOS,E11,-22.28388899999993,-53.80555599999997
3500026950,Naviraí,Caiua,2009-01-13,CHEM_ANALYSIS,17.624,SGB_HIDRO_MS_2024_POCOS,E11,-23.099999999999966,-54.19083299999994
