well_id,municipality,aquifer,specific_capacity,unit,source,evidence_code,latitude,longitude
3500022760,Aquidauana,Cuiaba,1.415,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.465832999999975,-55.79305499999998
3500022766,Aquidauana,Furnas,1.858,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.45055499999995,-55.76194399999997
3500022789,Guia Lopes da Laguna,Aquidauana,0.556,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.46083299999998,-56.113054999999974
3500022884,Fátima do Sul,Serra geral,0.938,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.35833299999996,-54.45277699999997
3500022947,Campo Grande,Serra geral,0.679,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.43999999999994,-54.55416599999995
3500022950,Campo Grande,Guarani,0.137,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.453610999999967,-54.675832999999955
3500022956,Campo Grande,Serra geral,0.617,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.53361099999995,-54.602776999999946
3500022970,Brasilândia,Serra geral,3.941,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.26499999999993,-52.03166599999997
3500022981,Paranaíba,Serra geral,3.5,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.67999999999995,-51.194721999999956
3500022986,Selvíria,Serra geral,16.171,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.35833299999996,-51.41722199999998
3500023028,Pedro Gomes,Furnas,7.182,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.100832999999966,-54.560554999999965
3500023039,Coxim,Caiua,0.815,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.508887999999956,-54.75361099999998
3500023058,Dourados,Guarani,1.9,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.21305499999994,-54.77888799999994
3500023105,Sonora,Furnas,0.554,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-17.584721999999942,-54.76111099999997
3500023336,Costa Rica,Serra geral,0.48,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.532221999999933,-53.13861099999997
3500027165,Sonora,Furnas,0.477,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-17.58555599999994,-54.74944399999998
3500023026,Mundo Novo,,0.542,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.92972199999997,-54.29527699999994
3500023306,Selvíria,,1.3,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.37749999999994,-51.445554999999956
3500023218,Corguinho,,0.09,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.954999999999927,-55.010554999999954
3500070896,Jardim,,19.536,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.483888999999976,-56.14433299999996
3500022919,Campo Grande,Guarani,2.903,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.551110999999935,-54.60833299999996
