scale_km2,pih_cell_id,source_hex_id,area_efetiva_ms_km2,evidence_code,evidence_name,n_evidence,n_wells_E01,pct_of_wells,support_state,interpretation
250,PIH-250-0009,HX-22-4,20.6149,E10,Evidência hidroquímica e físico-química parcial,0,1,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0009,HX-22-4,20.6149,E11,Última evidência hidrogeológica datada,0,1,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0009,HX-22-4,20.6149,E12,Revisão hidroestratigráfica necessária,1,1,100.0,REVIEW_REQUIRED_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E01,Poços canônicos provisórios,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E02,Profundidade positiva informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E03,Aquífero informado no cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E04,Nível estático disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E05,Nível dinâmico disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E06,Vazão específica não negativa,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E07,Ensaio de bombeamento cadastrado,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E08,Ensaio com metadados mínimos de cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E09,Transmissividade informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E10,Evidência hidroquímica e físico-química parcial,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E11,Última evidência hidrogeológica datada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0010,HX-23-4,12.1143,E12,Revisão hidroestratigráfica necessária,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E01,Poços canônicos provisórios,9,9,100.0,WELLS_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E02,Profundidade positiva informada,9,9,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E03,Aquífero informado no cadastro,9,9,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E04,Nível estático disponível,9,9,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E05,Nível dinâmico disponível,9,9,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E06,Vazão específica não negativa,9,9,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E07,Ensaio de bombeamento cadastrado,7,9,77.7778,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E08,Ensaio com metadados mínimos de cadastro,7,9,77.7778,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E09,Transmissividade informada,1,9,11.1111,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E10,Evidência hidroquímica e físico-química parcial,1,9,11.1111,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E11,Última evidência hidrogeológica datada,9,9,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0011,HX-24-4,158.8008,E12,Revisão hidroestratigráfica necessária,0,9,0.0,NO_REVIEW_FLAG_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E01,Poços canônicos provisórios,18,18,100.0,WELLS_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E02,Profundidade positiva informada,17,18,94.4444,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E03,Aquífero informado no cadastro,15,18,83.3333,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E04,Nível estático disponível,17,18,94.4444,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E05,Nível dinâmico disponível,17,18,94.4444,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E06,Vazão específica não negativa,15,18,83.3333,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E07,Ensaio de bombeamento cadastrado,3,18,16.6667,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E08,Ensaio com metadados mínimos de cadastro,3,18,16.6667,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0012,HX-25-4,249.9991,E09,Transmissividade informada,0,18,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
