cell_id,scale_km2,grid_family,area_effective_km2,question_code,question_name,n_wells,direct_evidence_n,direct_evidence_pct_of_wells,cell_state_code,cell_state_label,support_points_n,cross_scale_exact_state_support_n,cross_scale_exact_state_support_pct,cross_scale_direct_all_support_n,cross_scale_direct_some_support_n,cross_scale_direct_none_support_n,origin_exact_state_support_n,origin_exact_state_support_pct,origin_direct_all_support_n,origin_direct_some_support_n,origin_direct_none_support_n,hydro_surface_units_n,hydro_surface_domains_n,hydro_context_state,hydro_dominant_unit,hydro_dominant_domain,top_blocking_requirements,method_version
SCALE-150-O00-01845,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,5,4,80.0,2,EVIDENCIA_DIRETA_PRESENTE,7,1,14.285714,1,6,0,0,0.0,0,7,0,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Botucatu,Granular (Gr),Q01_R05=5|Q01_R03=4|Q01_R06=4|Q01_R02=1|Q01_R04=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01846,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,0,0.0,0,1,6,7,100.0,0,0,7,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Botucatu,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01847,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,3,1,4,100.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Formação Botucatu,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01848,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,0,0.0,0,7,0,7,100.0,0,0,7,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01849,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,2,50.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01850,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,6,0,0.0,0,6,0,2,33.333333,0,0,6,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01851,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,0,0.0,0,7,0,2,28.571429,0,5,2,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01852,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,3,75.0,0,1,3,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01853,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,0,0.0,0,7,0,6,85.714286,0,1,6,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01854,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,7,0,0.0,0,7,0,7,100.0,0,0,7,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-150-O00-01855,150,SCALE_PRIMARY_O00_V1,149.99999999999324,Q01,Nível e profundidade da água,2,2,100.0,2,EVIDENCIA_DIRETA_PRESENTE,4,0,0.0,0,4,0,2,50.0,2,2,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=2|Q01_R05=2|Q01_R06=2,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
