scale_km2,question_code,origin_a,origin_b,support_points_n,exact_state_agreement_n,exact_state_agreement_pct,direct_presence_jaccard,direct_presence_mismatch_n,direct_presence_mismatch_pct,spearman_state_code,method_version
250,Q05,OX25,OY25,14284,11002,77.023243,0.47492163,2010,14.071689,0.636181404280017,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q05,OX25,OXY25,14284,11856,83.00196,0.58800558,1477,10.340241,0.7317896061059386,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q05,OY25,OXY25,14284,11377,79.648558,0.51201923,1827,12.790535,0.6775819137091098,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,O00,OX25,14284,10977,76.848222,0.58869502,2263,15.842901,0.6914318617947082,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,O00,OY25,14284,11267,78.878465,0.63281688,1967,13.770652,0.7259134110095952,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,O00,OXY25,14284,10456,73.200784,0.55350229,2537,17.761131,0.6525531023960611,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,OX25,OY25,14284,10432,73.032764,0.54914493,2610,18.272193,0.6580364483618453,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,OX25,OXY25,14284,11316,79.221507,0.63913043,1992,13.945673,0.7298667019617683,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,OY25,OXY25,14284,11027,77.198264,0.61592004,2152,15.065808,0.7109249814366889,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,O00,OX25,14284,10779,75.462055,0.66797694,2534,17.740129,0.7222526786083701,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,O00,OY25,14284,11317,79.228507,0.69538706,2298,16.087931,0.7385912835607847,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,O00,OXY25,14284,10133,70.939513,0.59598637,3201,22.409689,0.6402650705022674,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,OX25,OY25,14284,10470,73.298796,0.62075134,2968,20.778493,0.6846817979276746,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,OX25,OXY25,14284,11218,78.535424,0.69308669,2273,15.91291,0.7514039013011102,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,OY25,OXY25,14284,10867,76.078129,0.66521279,2533,17.733128,0.7289137483805264,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
