indicator_a,source_field_a,indicator_b,source_field_b,n11_both,n10_a_only,n01_b_only,n00_neither,jaccard_presence,phi_presence,a_implies_b_in_acquired_set,b_implies_a_in_acquired_set,causal_interpretation_allowed,independence_demonstrated,method_version
ENSAIO_CADASTRADO,hydraulic_test_registered,ENSAIO_DATADO,test_dated,1096,10,485,2286,0.68887492,0.7497173573605292,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_CADASTRADO,hydraulic_test_registered,QUIMICA_DATADA,chemistry_dated,274,832,256,2515,0.20117474,0.20419870487612282,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_CADASTRADO,hydraulic_test_registered,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,556,550,1077,1694,0.25469537,0.1042951784032404,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_CADASTRADO,hydraulic_test_registered,PERFIL_LITOLOGICO,explicit_profile_documented,0,1106,0,2771,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_CADASTRADO,hydraulic_test_registered,INTERVALO_CAPTADO,capture_interval_demonstrated,0,1106,0,2771,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_CADASTRADO,hydraulic_test_registered,SERIE_TEMPORAL,time_series_demonstrated,0,1106,0,2771,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_CADASTRADO,hydraulic_test_registered,INDEPENDENCIA_DEMONSTRADA,independence_demonstrated,0,1106,0,2771,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,50,1046,1,2780,0.04557885,0.1788837765580533,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,296,800,1757,1024,0.10375044,-0.3263355291074519,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,HIDROQUIMICA_DATADA,hydrochemical_dated,273,823,257,2524,0.20177384,0.20537099254977625,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,EVIDENCIA_DATADA,temporal_any_dated,1096,0,541,2240,0.66951741,0.7343522876200159,True,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,NIVEL_DATADO,level_measurement_dated,19,1077,1,2780,0.01731996,0.10671022023680805,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,ENSAIO_DATADO,test_dated,1096,0,485,2296,0.69323213,0.7565276222148499,True,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,QUIMICA_DATADA,chemistry_dated,273,823,257,2524,0.20177384,0.20537099254977625,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,555,541,1078,1703,0.25528979,0.10830753910437833,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,PERFIL_LITOLOGICO,explicit_profile_documented,0,1096,0,2781,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,INTERVALO_CAPTADO,capture_interval_demonstrated,0,1096,0,2781,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,SERIE_TEMPORAL,time_series_demonstrated,0,1096,0,2781,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,INDEPENDENCIA_DEMONSTRADA,independence_demonstrated,0,1096,0,2781,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,50,1,2003,1823,0.02434275,0.10428990459925128,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,HIDROQUIMICA_DATADA,hydrochemical_dated,49,2,481,3345,0.09210526,0.2769569999006828,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,EVIDENCIA_DATADA,temporal_any_dated,51,0,1586,2240,0.03115455,0.1350554998671938,True,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,NIVEL_DATADO,level_measurement_dated,0,51,20,3806,0.0,-0.00831386146652388,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,ENSAIO_DATADO,test_dated,51,0,1530,2296,0.03225806,0.1391337889239813,True,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,QUIMICA_DATADA,chemistry_dated,49,2,481,3345,0.09210526,0.2769569999006828,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,30,21,1603,2223,0.01813785,0.03905773341800143,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,PERFIL_LITOLOGICO,explicit_profile_documented,0,51,0,3826,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,INTERVALO_CAPTADO,capture_interval_demonstrated,0,51,0,3826,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,SERIE_TEMPORAL,time_series_demonstrated,0,51,0,3826,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,INDEPENDENCIA_DEMONSTRADA,independence_demonstrated,0,51,0,3826,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,HIDROQUIMICA_DATADA,hydrochemical_dated,521,1532,9,1815,0.25266731,0.36154520615934455,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,EVIDENCIA_DATADA,temporal_any_dated,557,1496,1080,744,0.17778487,-0.32417992229935105,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,NIVEL_DATADO,level_measurement_dated,20,2033,0,1824,0.00974184,0.06787473089031658,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,ENSAIO_DATADO,test_dated,505,1548,1076,748,0.16139342,-0.3493221080859808,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,QUIMICA_DATADA,chemistry_dated,521,1532,9,1815,0.25266731,0.36154520615934455,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,985,1068,648,1176,0.36467975,0.12587812915309943,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,PERFIL_LITOLOGICO,explicit_profile_documented,0,2053,0,1824,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,INTERVALO_CAPTADO,capture_interval_demonstrated,0,2053,0,1824,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,SERIE_TEMPORAL,time_series_demonstrated,0,2053,0,1824,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,INDEPENDENCIA_DEMONSTRADA,independence_demonstrated,0,2053,0,1824,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,EVIDENCIA_DATADA,temporal_any_dated,530,0,1107,2240,0.32376298,0.46548934886339843,True,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,NIVEL_DATADO,level_measurement_dated,20,510,0,3347,0.03773585,0.18095896339528583,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,ENSAIO_DATADO,test_dated,474,56,1107,2240,0.28955406,0.39398670253886553,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,QUIMICA_DATADA,chemistry_dated,530,0,0,3347,1.0,1.0,True,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,236,294,1397,1950,0.12247016,0.01940782802951281,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,PERFIL_LITOLOGICO,explicit_profile_documented,0,530,0,3347,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,INTERVALO_CAPTADO,capture_interval_demonstrated,0,530,0,3347,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,SERIE_TEMPORAL,time_series_demonstrated,0,530,0,3347,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
HIDROQUIMICA_DATADA,hydrochemical_dated,INDEPENDENCIA_DEMONSTRADA,independence_demonstrated,0,530,0,3347,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
EVIDENCIA_DATADA,temporal_any_dated,NIVEL_DATADO,level_measurement_dated,20,1617,0,2240,0.01221747,0.08423447004186715,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
